Filmina,Dificultad,Hemisferio,Consigna,Subnivel,Ejercicios,Nivel del Ejercicio,Prioridad Coordinativa,Patron Tecnico/Tactico,Modificador Fisico,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Solo decir el Numero,10%,Mano,Ojo Derecho ,"santadillas, plancha, alargar distancias para que tenga que correr",,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Derecho ,,,Sumar modificadores fisicos a cada pack de ejercicios
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,1,Cruzo mano en los impares,10%,Mano,Ojo Derecho ,,,"(fisico = Exigir a la persona, que se desgaste, pierda"
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Solo decir el Numero,10%,Mano,Ojo Derecho ,,,concentracion por agitarse)
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Tocar con manos y pies al mismo tiempo,10%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,2,Cruzo mano en los pares,10%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Solo decir el Numero,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,3,Cruzo pie en los impares,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Solo decir el Numero,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Tocar con manos y pies al mismo tiempo,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,4,Cruzo pie en los pares,10%,Pie,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Solo decir el Numero,20%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Tocar primero con manos y despues con pies,20%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,5,Cruzo mano en los impares,20%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Solo decir el Numero,20%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Tocar primero con manos y despues con pies,20%,Mano,Ojo Derecho ,,,
Panel de Confusion A (Rojo/Azul),Inicial,Solo HI,Solo decir numero,6,Cruzo mano en los pares,20%,Mano,Ojo Derecho ,,,
